N,Average Comparisons,Average Substitutions,Average Height,Max Comparisons,Max Substitutions,Max Height
10000,824375,364453,30,874651,384974,34
20000,1783972,790830,34,1894565,844991,40
30000,2779121,1233017,35,2967698,1311905,40
40000,3803439,1683166,37,3981832,1776906,41
50000,4838725,2145364,37,5141655,2268404,41
60000,5858766,2599683,37,6232731,2788716,43
70000,7014963,3107187,38,7561140,3330376,44
80000,8111553,3593535,40,9246652,4075076,46
90000,9162843,4058251,39,9807520,4409850,47
100000,10357271,4590353,40,11376457,5071824,47
