N,Average Comparisons,Average Substitutions,Average Height,Max Comparisons,Max Substitutions,Max Height
10000,253424,1464468,1,254089,1468745,39
20000,550226,3189386,2,551584,3195943,41
30000,863886,5015260,2,865452,5024572,44
40000,1187768,6902520,2,1189246,6909771,43
50000,1520179,8841169,2,1521954,8850223,44
60000,1858001,10812127,2,1859979,10822043,47
70000,2201868,12819208,2,2204692,12833985,48
80000,2549721,14850671,2,2552416,14869132,48
90000,2901649,16906988,2,2903608,16915405,49
100000,3258113,18988728,2,3261214,19004246,55
