N,Average Comparisons,Average Substitutions,Average Height,Max Comparisons,Max Substitutions,Max Height
10000,29997,109992,500,29997,109992,10000
20000,59997,219992,1000,59997,219992,20000
30000,89997,329992,1500,89997,329992,30000
40000,119997,439992,2000,119997,439992,40000
50000,149997,549992,2500,149997,549992,50000
60000,179997,659992,3000,179997,659992,60000
70000,209997,769992,3500,209997,769992,70000
80000,239997,879992,4000,239997,879992,80000
90000,269997,989992,4500,269997,989992,90000
100000,299997,1099992,5000,299997,1099992,100000
